1    851417  0.5918951517595206  0  7.160348852196079e-06
2  a  6621  0.004603186741376194  0  7.160348852196079e-06
3  aa  78  5.45722508794127e-05  0  7.160348852196079e-06
4  aaa  43  3.024067405419685e-05  0  7.160348852196079e-06
5  aaaa  0  3.475939546459408e-07  1  2.1481046556588235e-05
6  aaaaaa  0  3.475939546459408e-07  1  2.1481046556588235e-05
7  aaaaaaa  0  3.475939546459408e-07  1  2.1481046556588235e-05
8  aaaaaaaaaa  5  3.823533501105349e-06  0  7.160348852196079e-06
9  aaaaaaaaaaaaaaa  0  3.475939546459408e-07  1  2.1481046556588235e-05
10  aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa  0  3.475939546459408e-07  1  2.1481046556588235e-05
11  aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaach  0  3.475939546459408e-07  1  2.1481046556588235e-05
12  aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaafhzwiaaaaaaaadzuqabaaaa  0  3.475939546459408e-07  1  2.1481046556588235e-05
13  aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadhcsu  0  3.475939546459408e-07  1  2.1481046556588235e-05
14  aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaazgvzywaaaaaaaaausuvdidyxoty  0  3.475939546459408e-07  1  2.1481046556588235e-05
15  aaaaaaaaaaaaaaaaaaaaaaabaaaaaaaaaaaaaajmaaaarqaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa  0  3.475939546459408e-07  1  2.1481046556588235e-05
16  aaaaaaaaaaaaaaaaaaaaaaary  0  3.475939546459408e-07  1  2.1481046556588235e-05
17  aaaaaaaaaaaaaaaaaqiqesbb  0  3.475939546459408e-07  1  2.1481046556588235e-05
18  aaaaaaaaaaaaaaaberahmuh  0  3.475939546459408e-07  1  2.1481046556588235e-05
19  aaaaaaaaaaaaaab  0  3.475939546459408e-07  1  2.1481046556588235e-05
20  aaaaaaaaaaaaaaeaapbwaaeaaaaa  0  3.475939546459408e-07  1  2.1481046556588235e-05
21  aaaaaaaaaaaaaduaaabpaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadhcsu  0  3.475939546459408e-07  1  2.1481046556588235e-05
22  aaaaaaaaaaaaoejjtqptcljlc  0  3.475939546459408e-07  1  2.1481046556588235e-05
23  aaaaaaaaaaababeh  0  3.475939546459408e-07  1  2.1481046556588235e-05
24  aaaaaaaaaaababeqqsahmvh  0  3.475939546459408e-07  1  2.1481046556588235e-05
25  aaaaaaaaaabiaaaavgaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa  0  3.475939546459408e-07  1  2.1481046556588235e-05
26  aaaaaaaaaadz  1  1.0427818639378223e-06  0  7.160348852196079e-06
27  aaaaaaabaaireiaqisixqqmyuyetqmh  0  3.475939546459408e-07  1  2.1481046556588235e-05
28  aaaaaaabagadbbefehmuiravicjaqte  1  1.0427818639378223e-06  0  7.160348852196079e-06
29  aaaaaaaberasaiewmsbbuubqyf  1  1.0427818639378223e-06  0  7.160348852196079e-06
30  aaaaaaatpp  0  3.475939546459408e-07  1  2.1481046556588235e-05
31  aaaaaacaaqaaaaebap  0  3.475939546459408e-07  1  2.1481046556588235e-05
32  aaaaad  0  3.475939546459408e-07  1  2.1481046556588235e-05
33  aaaaaeaesaaaaaqacaswaaaabaai  0  3.475939546459408e-07  1  2.1481046556588235e-05
34  aaaaaf  0  3.475939546459408e-07  1  2.1481046556588235e-05
35  aaaaanyway  1  1.0427818639378223e-06  0  7.160348852196079e-06
36  aaaaaqataaaabgaaaaaaathcsu  0  3.475939546459408e-07  1  2.1481046556588235e-05
37  aaaaaresahahidbraxmxikbbugh  1  1.0427818639378223e-06  0  7.160348852196079e-06
